SA2_MAIN11,SA2_5DIG11,SA2_NAME11,ADAPT_NO
206011105,21105,Brunswick,1
206011106,21106,Brunswick East,2
206011107,21107,Brunswick West,3
206011108,21108,Coburg,4
206011109,21109,Pascoe Vale South,5
206021110,21110,Alphington - Fairfield,6
206021111,21111,Northcote,7
206021112,21112,Thornbury,8
206031113,21113,Ascot Vale,9
206031114,21114,Essendon - Aberfeldie,10
206031115,21115,Flemington,11
206031116,21116,Moonee Ponds,12
206041117,21117,Carlton,13
206041118,21118,Docklands,14
206041119,21119,East Melbourne,15
206041120,21120,Flemington Racecourse,16
206041121,21121,Kensington,17
206041122,21122,Melbourne,18
206041123,21123,North Melbourne,19
206041124,21124,Parkville,20
206041125,21125,South Yarra - West,21
206041126,21126,Southbank,22
206041127,21127,West Melbourne,23
206051128,21128,Albert Park,24
206051129,21129,Elwood,25
206051130,21130,Port Melbourne,26
206051131,21131,Port Melbourne Industrial,27
206051132,21132,South Melbourne,28
206051133,21133,St Kilda,29
206051134,21134,St Kilda East,30
206061135,21135,Armadale,31
206061136,21136,Prahran - Windsor,32
206061137,21137,South Yarra - East,33
206061138,21138,Toorak,34
206071139,21139,Abbotsford,35
206071140,21140,Carlton North - Princes Hill,36
206071141,21141,Collingwood,37
206071142,21142,Fitzroy,38
206071143,21143,Fitzroy North,39
206071144,21144,Richmond (Vic.),40
206071145,21145,Yarra - North,41
207011146,21146,Ashburton (Vic.),42
207011147,21147,Balwyn,43
207011148,21148,Balwyn North,44
207011149,21149,Camberwell,45
207011150,21150,Glen Iris - East,46
207011151,21151,Hawthorn,47
207011152,21152,Hawthorn East,48
207011153,21153,Kew,49
207011154,21154,Kew East,50
207011155,21155,Surrey Hills (West) - Canterbury,51
207021156,21156,Bulleen,52
207021157,21157,Doncaster,53
207021158,21158,Doncaster East,54
207021159,21159,Templestowe,55
207021160,21160,Templestowe Lower,56
207031161,21161,Blackburn,57
207031162,21162,Blackburn South,58
207031163,21163,Box Hill,59
207031164,21164,Box Hill North,60
207031165,21165,Burwood,61
207031166,21166,Burwood East,62
207031167,21167,Surrey Hills (East) - Mont Albert,63
208011168,21168,Beaumaris,64
208011169,21169,Brighton (Vic.),65
208011170,21170,Brighton East,66
208011171,21171,Cheltenham - Highett (West),67
208011172,21172,Hampton,68
208011173,21173,Sandringham - Black Rock,69
208021174,21174,Bentleigh - McKinnon,70
208021175,21175,Bentleigh East,71
208021176,21176,Carnegie,72
208021177,21177,Caulfield - North,73
208021178,21178,Caulfield - South,74
208021179,21179,Elsternwick,75
208021180,21180,Hughesdale,76
208021181,21181,Murrumbeena,77
208021182,21182,Ormond - Glen Huntly,78
208031183,21183,Aspendale Gardens - Waterways,79
208031184,21184,Braeside,80
208031185,21185,Carrum - Patterson Lakes,81
208031186,21186,Chelsea - Bonbeach,82
208031187,21187,Chelsea Heights,83
208031188,21188,Cheltenham - Highett (East),84
208031189,21189,Edithvale - Aspendale,85
208031190,21190,Mentone,86
208031191,21191,Moorabbin - Heatherton,87
208031192,21192,Moorabbin Airport,88
208031193,21193,Mordialloc - Parkdale,89
208041194,21194,Malvern - Glen Iris,90
208041195,21195,Malvern East,91
209011196,21196,Bundoora - East,92
209011197,21197,Greensborough,93
209011198,21198,Heidelberg - Rosanna,94
209011199,21199,Heidelberg West,95
209011200,21200,Ivanhoe,96
209011201,21201,Ivanhoe East - Eaglemont,97
209011202,21202,Montmorency - Briar Hill,98
209011203,21203,Viewbank - Yallambie,99
209011204,21204,Watsonia,100
209021205,21205,Kingsbury,101
209021206,21206,Preston,102
209021207,21207,Reservoir - East,103
209021208,21208,Reservoir - West,104
209031209,21209,Eltham,105
209031210,21210,Hurstbridge,106
209031211,21211,Kinglake,107
209031212,21212,Panton Hill - St Andrews,108
209031213,21213,Plenty - Yarrambat,109
209031214,21214,Research - North Warrandyte,110
